Video ID,Date Posted,Face Count,View Count
2WvGOE95Rjo,2018-05-02,0,3600408
RCYDsNxdWkA,2018-05-02,0,11471080
IfemyZEhfpY,2018-05-02,0,94777206
f_Q_Gr7q00A,2018-05-02,0,9233632
mbAWv_w3Sw8,2018-05-02,0,1628270
uZgU8vdJgzg,2018-04-03,0,2419645
zCEjkryAB3Y,2018-04-03,0,1086751
fgvMss6qhnc,2018-04-03,0,1550693
MyLuByJIxzA,2018-04-03,0,1003536
h-wATDal7_0,2018-04-03,0,52776703
S8GgBQaxYqs,2018-04-03,0,2716718
Z_Z_7zEkL3E,2018-04-03,0,431247
cu0dWNfbWz8,2018-04-03,0,7009254
J--bEkGYR-A,2018-04-03,0,14278985
Cz6BUM4F2tY,2018-04-03,0,32708906
Hr-D4b0KYlw,2018-04-03,0,1170098
1lkvi6WYeYo,2018-04-03,0,1429752
37167fMEw5c,2018-01-09,0,2921834
apUsvFnYgOk,2018-01-09,0,34607429
cicyjCWzrRw,2018-01-09,0,3827463
hF6uqNkfOFs,2018-01-09,0,1284405
k-J_LxWLXeo,2018-01-09,0,13724100
lpr-hsmClqQ,2018-01-09,0,32921497
t9JbdvifAMw,2018-01-09,0,33016526
JIzyZL6RYIc,2018-01-09,0,5730032
K5mGRX4gN2Y,2018-01-09,0,31229339
O95-DTBDMUM,2018-01-09,0,2684073
gCBPBkAnz9o,2018-01-03,0,1769708
jw-pAvTfPFY,2018-01-03,0,10944945
s6DI1qg5CfM,2018-01-03,0,10278833
uOysDunbDNs,2018-01-03,0,20156801
9A7IyKB0Oec,2018-01-03,0,14728533
BQbAAUfCdpo,2018-01-03,0,876043
CMIaXUpMkmM,2018-01-03,0,2321085
LlEcbldIFlo,2018-01-03,0,1024896
XYryr53d0Mg,2018-01-03,0,13318875
I0KCB_NUC-U,2018-01-02,0,2224456
JdSn9n8pXGw,2018-01-02,0,16322095
RTz_LWyZSdI,2018-01-02,0,8310395
SCB3ZlRJSIs,2018-01-02,0,46691744
XcL9OdH48dM,2018-01-02,0,2001102
Xy9heqcKLAI,2018-01-02,0,6254196
ZbWo60LyvXc,2018-01-02,0,68814571
_OuGRiAdiuc,2018-01-02,0,6636065
8xqU3QKfK5g,2018-01-02,0,845580
BiPKFk85iF4,2018-01-02,0,8367758
DgAVuIuauvs,2018-01-02,0,2273725
384_y4CS9hI,2018-01-02,0,56394474
4GsipdjoFmw,2018-01-02,0,38781456
zwBISsbdPAk,2018-01-02,0,3977091
dhFHAV6eo_4,2018-01-02,0,1446819
iZLt0FfCsKI,2018-01-02,0,8171596
jip9EXrrf0o,2018-01-02,0,26945289
mGTDw2MzE-Q,2018-01-02,0,3265971
odxf2fLLv9I,2018-01-02,0,6260143
qE7tXUDtc-s,2018-01-02,0,1294673
qi3dicwdbdQ,2018-01-02,0,14924962
ry_wDyPLkBI,2018-01-02,0,1712674
smD7f1tAXL4,2018-01-02,0,5990348
m5BMmuwcGtg,2018-01-02,0,7361233
m5_J7xuYxzs,2018-01-02,0,14259054
tuEZ_8HdnwQ,2018-01-02,0,86617164
v5LtIAyWc8A,2018-01-02,0,6110595
-ThId6ZWqsE,2018-01-02,0,35550544
-YIj6H4ShQA,2018-01-02,0,19380443
4HoEW9-gGTE,2018-01-02,0,8420644
9UK3V5xhED0,2018-01-02,0,16771744
BQ7vGQn5GzA,2018-01-02,0,20116720
D78QseJtht8,2018-01-02,0,3910515
E30APZxHh4c,2018-01-02,0,18055454
FeSmZ3HcqXQ,2018-01-02,0,5363550
JKlFuOpPhrk,2018-01-02,0,26838634
Od8BLS0huVU,2018-01-02,0,48593614
S9ou2FCLWlQ,2018-01-02,0,5669671
