Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Hey Brother,TRUE,Avicii,1/1/2013,2663,27.3,1007623089,168666,72,936816983,7135806
Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,1/1/2013,3008,25.4,1687828519,272010,80,527397003,5344645
Best Day Of My Life,American Authors - EP,American Authors,1/1/2013,3140,24.6,999525686,147511,74,349753696,3326207
Heart Attack,Demi,Demi Lovato,1/1/2013,3134,24.6,826593536,101501,74,898024937,7520556
Dark Horse,PRISM,Katy Perry,1/1/2013,3162,24.5,1445950326,185843,74,248178591,2292757
Love Me,I Am Not A Human Being II (Japan Version),Lil Wayne,1/1/2013,3317,23.8,773746724,52272,27,121852617,1286777
23,23 (feat. Miley Cyrus Wiz Khalifa & Juicy J) - Single,Mike WiLL Made-It,1/1/2013,3409,23.5,339514083,62118,63,1077541932,5697309
Do I Wanna Know?,Do I Wanna Know?,Arctic Monkeys,1/1/2013,3432,23.3,2188592950,11669,46,1719916219,10641718
Talk Dirty (feat. 2 Chainz),VTM Kzoom Hits Best Of 2013,Jason Derulo,1/1/2013,3489,23.1,718634962,116033,65,88651556,872188
I Wanna Be Yours,AM,Arctic Monkeys,1/1/2013,3597,22.6,2185240293,277753,86,109538379,1268458
Animals,Animals - Single,Martin Garrix,1/1/2013,3957,21.5,413855724,67911,61,62878984,569920
Ginseng Strip 2002,Lavender - Single,Yung Lean,1/1/2013,4202,20.6,276992369,105690,64,126116178,2585938
Bound 2,Yeezus,Kanye West,1/1/2013,4239,20.5,948562412,227652,76,179763989,1952137
Gentleman,Clubland 23,PSY,1/1/2013,4357,20.1,119666188,25949,54,1772780483,9586155
Come & Get It,Stars Dance,Selena Gomez,1/1/2013,4526,19.6,412118303,56547,64,863861067,5523754
Habits (Stay High),Habits,Tove Lo,3/15/2013,1658,35.9,919756735,144657,69,1690599219,10605192
Gas Pedal,Gas Pedal - The EP,Sage The Gemini,3/19/2013,3751,22.1,253903241,57350,59,25539550,321940
Ch-Ch-Ch Chick (feat. Chick McGee),A Couple of Nuts,Bob and Tom,4/18/2013,2501,28.4,3115,7,,2730590985,6452846
Instant Crush (feat. Julian Casablancas),Random Access Memories,Daft Punk,5/17/2013,4413,19.9,587054803,130991,70,830977726,4575683
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,6/10/2013,2250,30.2,38260236,3255,55,2809354638,7825584
